specObjID,ra,dec,z
321019769417394176,180.08022,0.13398545,0.08671725
321019219661580288,180.15704,0.023895571,0.09491483
322115159034193920,180.56808,0.10419547,0.07879348
321043134039484416,180.53398,0.036815211,0.09384583
321046432574367744,180.55524,0.018623784,0.08168501
4328084950379417600,180.60443,0.080305196,0.5198585
4328107490367787008,180.36091,0.3230751,0.5699475
4328117385972436992,180.3912,0.29808275,0.6900731
322115708790007808,180.43111,0.18307162,0.1043577
321043683795298304,180.44148,0.2454631,0.1044149
4328086049891045376,180.36341,0.14749207,0.4944766
322116258545821696,180.40687,0.084739493,0.1309347
4328089898181742592,180.40957,0.037415278,0.5213479
321044783306926080,180.46715,0.069396505,0.1624981
4328085500135231488,180.44105,0.16965057,0.1628341
4327100062117416960,180.0108,0.68734262,0.5711429
321023067952277504,180.06614,0.62848745,0.08581226
321020044295301120,180.14822,0.54051698,0.2823618
322103889040009216,180.09364,0.5569143,0.1250698
321021693562742784,180.11414,0.5640833,0.1241733
321024167463905280,180.07521,0.54360565,0.105237
321023892585998336,180.13001,0.37470572,0.08103441
4327098687727882240,180.05881,0.42688717,0.6834889
4327101436506951680,180.03554,0.40909712,0.6851913
321022793074370560,180.04927,0.3977317,0.08656619
321022243318556672,180.06982,0.40510569,0.07740269
4328104191832903680,180.28827,0.39864385,0.5641831
321033513312741376,180.20744,0.45688343,0.1246424
322102239772567552,180.21006,0.45663819,0.2282647
4327106934065090560,180.26271,0.35531145,0.564616
321023617708091392,180.16936,0.3981304,0.08121167
322104438795823104,180.09969,0.49068637,0.02565813
4328104741588717568,180.33479,0.3174963,0.5662836
321023342830184448,180.07504,0.29497975,0.02065824
322104163917916160,180.16948,0.22951744,0.1084199
322105813185357824,180.12888,0.32352501,0.2488444
321020319173208064,180.12945,0.324206,0.2470216
4327107208942997504,180.12934,0.34379487,0.330963
321021968440649728,180.10825,0.29961202,0.08105004
322106088063264768,180.27077,0.11376081,0.02066828
4327104735041835008,180.17925,0.21395854,0.5622796
321032963556927488,180.18847,0.23123731,0.07669608
4327107483820904448,180.26656,0.18426158,0.4963887
321031039411578880,180.26002,0.2609342,0.2510791
322135225121400832,181.30889,0.088345846,0.1523647
4329226243482603520,181.26783,0.12195481,0.500273
322137973900470272,181.2673,0.051234055,0.118512
322126429028378624,181.09019,0.18246177,0.1044404
4328172911309639680,181.11282,0.23765589,0.499325
322124504883030016,181.11135,0.025913784,0.09375275
322125879272564736,181.06501,0.1171697,0.07318167
4328041519670120448,181.06344,0.12489938,0.6582906
322126978784192512,181.11974,0.16206466,0.1599338
4329227342994231296,181.2086,0.076806242,0.5730485
4328036022111981568,181.18933,0.057343084,0.5733548
322135774877214720,181.2176,0.16716451,0.1521097
4329225693726789632,181.18851,0.17031134,0.5014747
4329226793238417408,181.19725,0.11387682,0.4424192
322127253662099456,181.15392,0.12173617,0.1032288
321051655254599680,180.70368,0.69148054,0.08188177
4328135527914295296,180.7771,0.62387524,0.4825127
321054953789483008,180.76148,0.63177298,0.3568548
4328137177181736960,180.73694,0.65843691,0.6888553
4328138276693364736,180.7598,0.38281693,0.5020522
